"U.S.  Economic Assistance, Constant 2012 $US ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obligations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: US Overseas Loans & Grants [Greenbook], http://gbk.eads.usaidallnet.gov/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prepared by USAID Economic Analysis and Data Services on March 28, 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"tq—In 1976 the U.S. Government changed the fiscal year from July-June to October-September. The Transition Quarter (TQ) reports the 3 month adjustment period of July, August and September in 1976.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Program Name,FY1946,FY1947,FY1948,FY1949,FY1950,FY1951,FY1952,FY1953,FY1954,FY1955,FY1956,FY1957,FY1958,FY1959,FY1960,FY1961,FY1962,FY1963,FY1964,FY1965,FY1966,FY1967,FY1968,FY1969,FY1970,FY1971,FY1972,FY1973,FY1974,FY1975,FY1976,FY1976tq,FY1977,FY1978,FY1979,FY1980,FY1981,FY1982,FY1983,FY1984,FY1985,FY1986,FY1987,FY1988,FY1989,FY1990,FY1991,FY1992,FY1993,FY1994,FY1995,FY1996,FY1997,FY1998,FY1999,FY2000,FY2001,FY2002,FY2003,FY2004,FY2005,FY2006,FY2007,FY2008,FY2009,FY2010,FY2011,FY2012
Albania,Global Health and Child Survival,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"531,901","20,481","7,310","8,486","8,381"
Albania,Inactive Programs,"127,340,659","65,709,732",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,Migration and Refugee Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,626,492","4,493,604","3,849,067","1,168,600",,,,,,,,,,,
Albania,Millennium Challenge Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,358,876","1,226,129","16,745,915","12,923","-5,657","694,544","218,614"
Albania,Narcotics Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,701,159","5,126,868","5,511,990","500,000"
Albania,"Nonproliferation, Anti-Terrorism, Demining and Related",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,665,791","971,404","2,167,690","2,093,856","6,032,713","1,902,288","1,217,361","8,911,258","3,579,915","6,807,355","3,493,435","10,930,922"
Albania,Other Active Grant Programs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,608,208","2,370,997","4,235,347","605,978","1,147,659","646,013","957,192",,"823,461","840,847","474,183","2,033,949","618,981","1,114,722","291,010"
Albania,Other Food Aid Programs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23,643,440","11,250,127",,,,,,"3,604,952",,"2,726,021",,"6,527,557","5,963,659",,,,,,,,
Albania,Other State Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"198,235","151,541",,"65,355","187,423","109,675",,"64,259","63,486","43,560","99,954","21,365","30,129","1,642,780","1,460,088","1,366,276","1,743,941","2,274,956","2,078,451","717,862","846,300","719,859"
Albania,Other USAID Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28,033","14,449","42,384,631","27,992,766","6,866,660","42,197,278","51,448,648","59,252,140","38,678,103","42,335,498","36,919,384","28,617,785","26,368,998","21,480,553","19,280,514","14,350,609","21,653,177","22,965,537","19,558,895","16,487,242"
Albania,Peace Corps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"962,023","1,203,948","1,644,282","1,704,950","1,728,206","746,909",,,,,,"1,408,324","1,795,931","1,520,306","1,579,305","1,774,842","1,739,271","2,468,214","1,807,164","1,728,312","1,665,610"
Albania,Title I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"41,466,493","68,089,982","21,806,311","7,074,469","7,851,936",,"12,500,879",,,"6,481,438",,,,,,,,,,,
Albania,Title II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"708,851","3,661,418",,,,"3,009,718","817,620",,"8,121,629",,,,,,,,,,,,
