"U.S.  Military Assistance, Constant 2012 $US ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obligations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: US Overseas Loans & Grants [Greenbook], http://gbk.eads.usaidallnet.gov/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prepared by USAID Economic Analysis and Data Services on March 28, 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"tq—In 1976 the U.S. Government changed the fiscal year from July-June to October-September. The Transition Quarter (TQ) reports the 3 month adjustment period of July, August and September in 1976.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Program Name,FY1946,FY1947,FY1948,FY1949,FY1950,FY1951,FY1952,FY1953,FY1954,FY1955,FY1956,FY1957,FY1958,FY1959,FY1960,FY1961,FY1962,FY1963,FY1964,FY1965,FY1966,FY1967,FY1968,FY1969,FY1970,FY1971,FY1972,FY1973,FY1974,FY1975,FY1976,FY1976tq,FY1977,FY1978,FY1979,FY1980,FY1981,FY1982,FY1983,FY1984,FY1985,FY1986,FY1987,FY1988,FY1989,FY1990,FY1991,FY1992,FY1993,FY1994,FY1995,FY1996,FY1997,FY1998,FY1999,FY2000,FY2001,FY2002,FY2003,FY2004,FY2005,FY2006,FY2007,FY2008,FY2009,FY2010,FY2011,FY2012
Brazil,"Military Assistance, Total",,,,,,,"195,433,981","457,383,498","81,158,343","53,913,958","57,967,298","171,676,023","43,632,172","137,652,348","206,899,264","163,984,601","238,638,860","49,266,957","206,442,675","78,371,627","192,448,450","184,762,690","193,159,972","3,842,283","3,756,310","55,182,268","90,220,229","73,356,968","181,561,051","231,813,352","146,164,103","321,710","142,033",,,,,,,,,,,"74,371","206,453","155,770","111,393","221,657","368,857","138,709","141,490","277,623","4,238,847","12,882,734","2,017,672","985,963","24,668,642","1,618,590","1,572,710","800,451","752,061","1,083,713","828,336","2,309,515","1,007,241","1,510,755","1,673,177","1,195,000"
Brunei,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26,595",,,"43,790",
Bulgaria,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"502,122","411,644","433,466","671,807","8,077,187","5,327,041","6,931,266","13,779,678","7,814,769","18,540,036","12,157,573","24,932,724","11,859,603","9,790,701","12,865,594","12,034,278","8,785,944","9,692,202","11,403,964","11,517,733","12,150,205"
Burkina Faso,"Military Assistance, Total",,,,,,,,,,,,,,,,,"327,276","11,971",,"46,515","51,224","44,124","21,311",,,,,,,,,,,,"307,836","209,081","150,028","171,860","230,877","65,819","31,876","62,311","130,303","76,100","114,881","134,894","165,543",,,,,,,,,,,,,"136,400","148,326","136,725","177,423","161,698","179,602","271,374","334,024","212,000"
Burma (Myanmar),"Military Assistance, Total",,,,,"15,445,354","9,070,841",,"7,135","7,057",,,,"99,133,265","70,862,414","71,821,976","13,457,032","69,479,515","57,760,434","12,765,137","66,277,778","20,051,338","21,388,988","14,656,822","422,957","507,610","188,760",,"25,274",,,,,,,,"73,793","69,416","316,475","341,296","224,559","416,268","481,993","533,705","444,495",,,,,,,,,,,,,,"65,094","71,152","8,375","4,452,110","201,725",,,,,,
Burundi,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"67,067","78,297","263,276","273,762","245,578","273,100","191,980","204,788","388,622","688,473","274,433","491,317",,"62,255","98,556",,,,,,,,,,"526,727","321,103","340,417","510,448","358,713","358,465","325,000"
Cambodia,"Military Assistance, Total",,,,,,,,,,,"186,772,900","187,644,050","34,917,230","19,430,829","49,740,122","75,888,838","67,915,862","19,865,998","1,745,003",,,,,,"41,590,139","922,758,379","838,125,399","716,573,108","1,483,751,254","826,415,044",,,,,,,,,,,,,,,,,,,,"1,259,942","2,225,632","3,335,645","1,994,030",,,,,,,"33,502","1,536,569","1,973,546","2,163,965","1,494,642","5,593,945","2,531,788","2,738,389","7,349,000"
Cameroon,"Military Assistance, Total",,,,,,,,,,,,,,,,,"1,460,621",,,,,,,"76,438","62,847",,,,,,,,,"14,463,305","5,353,661","2,568,005","9,904,101","3,225,526","5,193,721","9,865,093","9,622,915","401,356","506,930","394,338","451,199","793,303","2,053,041","426,728","483,940","144,489",,"115,214","141,749","191,115","244,405","246,165","283,783","241,599","559,404","431,933","563,177","583,883","456,075","303,184","966,279","1,596,014","1,138,534","1,176,000"
Canada,"Military Assistance, Total",,,,,,"20,409,393",,"8,562,562",,,,,,,,"55,764,569",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30,551","52,098","41,995","50,072","14,721","8,375",,,,"7,447","7,352",,,
Cape Verde,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,030","94,857","103,129","82,470","12,495","114,150","136,525","109,200","3,267,538","535,295","246,396",,"106,117","88,839","283,498","205,919","92,980","160,203","160,344","182,764","175,427","239,298","209,743","474,055","851,194","234,037","376,009","196,513","1,852,410","1,122,000"
Caribbean (not specified),"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,375,405",,,"1,729,552",,,,,,,,,,"168,235","5,606,711","11,569,766","10,634,847","12,320,309","15,893,937","22,369,566","19,340,372","18,285,281","20,187,023","20,793,083","26,875,169","26,718,424","23,038,520","27,690,000"
Central African Republic,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"48,205","98,374","170,355","191,258","214,423","335,574","249,056","303,020","406,287","608,022","386,015","317,217",,"263,171","152,693","215,350","201,882","107,591","134,154","147,618","160,232","15,948",,,"116,552","289,537","123,401","56,716","62,385",,
Chad,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"46,356,015","687,227","9,898,552","17,241,800","37,098,736","9,984,705","422,895","6,606,573","1,853,461","530,771","545,908","325,100","87,724",,"36,800","134,588","115,561","130,246","220,154","270,391","316,505","685,588","2,932,923","551,383","404,916","195,740","180,652","909,780","804,510","574,800"
Chile,"Military Assistance, Total",,,,,,,"48,676,865","58,510,837","4,918,901","36,367,415","25,926,273","41,307,734","62,651,815","32,542,075","48,745,444","106,185,544","96,697,981","150,967,219","55,851,912","60,771,589","58,896,181","23,926,104","42,047,125","59,805,087","4,118,889","26,196,154","53,891,234","63,146,386","63,291,935","2,219,433",,,,,,,,,,,,,,,,,"5,125,640","5,683,171","392,463","140,154","719,339","775,302","691,028","29,649,679","1,239,294","1,156,586","3,149,774","1,679,928","2,995,754","1,956,260","1,767,170","1,546,561","1,417,206","743,598","6,192,590","2,371,667","2,579,466","855,000"
China (P.R.C.),"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26,288",,,,"79,569",,"105,316","157,546","197,552","202,655",
China (Taiwan),"Military Assistance, Total",,"1,255,588,659",,,,"611,525,897","1,412,348,346","1,664,704,680","2,016,255,542","2,696,335,050","1,385,339,258","717,568,157","327,579,672","1,920,020,189","1,835,454,652","1,179,120,364","795,868,931","694,226,545","436,049,519","385,357,690","569,513,774","610,987,090","874,726,174","622,169,606","1,271,097,727","579,225,052","619,333,760","624,058,661","364,434,545","294,181,547","312,663,620","43,109,162","109,565,729","69,794,125","21,415",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,"Military Assistance, Total",,,,,,,"25,435,478","44,953,448","12,004,378","32,901,518","22,514,024","16,474,427","44,813,318","11,002,620","32,078,369","108,495,791","52,030,847","39,857,692","53,799,316","60,213,411","76,693,664","52,341,799","25,973,103","20,383,465","35,682,531","30,730,989","37,977,516","44,195,309","2,153,348","2,361,704","68,373,182","1,608,551","2,152,101","150,771,277","34,678,341","634,622","550,850","21,683,749","1,198,551","48,882,156","1,441,937","1,830,842","2,440,049","7,283,144","100,645,776","146,059,225","84,453,158","87,957,217","45,176,085","12,426,035","15,581,700","5,462,240","94,678,880","92,344,651","146,151,060","171,350,361","247,114,081","150,621,467","241,076,894","338,126,186","297,681,814","259,175,594","236,202,114","184,939,927","194,459,531","193,231,070","162,935,692","100,378,000"
