"U.S.  Military Assistance, Constant 2012 $US ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obligations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: US Overseas Loans & Grants [Greenbook], http://gbk.eads.usaidallnet.gov/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prepared by USAID Economic Analysis and Data Services on March 28, 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"tq—In 1976 the U.S. Government changed the fiscal year from July-June to October-September. The Transition Quarter (TQ) reports the 3 month adjustment period of July, August and September in 1976.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Program Name,FY1946,FY1947,FY1948,FY1949,FY1950,FY1951,FY1952,FY1953,FY1954,FY1955,FY1956,FY1957,FY1958,FY1959,FY1960,FY1961,FY1962,FY1963,FY1964,FY1965,FY1966,FY1967,FY1968,FY1969,FY1970,FY1971,FY1972,FY1973,FY1974,FY1975,FY1976,FY1976tq,FY1977,FY1978,FY1979,FY1980,FY1981,FY1982,FY1983,FY1984,FY1985,FY1986,FY1987,FY1988,FY1989,FY1990,FY1991,FY1992,FY1993,FY1994,FY1995,FY1996,FY1997,FY1998,FY1999,FY2000,FY2001,FY2002,FY2003,FY2004,FY2005,FY2006,FY2007,FY2008,FY2009,FY2010,FY2011,FY2012
Maldives,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30,114","44,525","43,127","56,813","53,549","50,157","59,938","73,870","75,809","158,327","150,494",,"70,745","111,049","115,853","135,934","124,859","130,246","139,982","156,476","170,520","216,565","3,924,856","193,880","183,954","178,719","152,294","211,069","272,922","937,784"
Mali,"Military Assistance, Total",,,,,,,,,,,,,,,,"7,476,129","1,175,770","413,002","550,119","2,558,314","4,797,978","364,021",,"5,096","217,547","27,623","400,041","16,849",,,,,,,"195,409","248,437","235,119","207,490","244,930","278,762","273,762","269,403","251,680","243,867","278,045","258,546","379,047","333,240","1,394,278","193,615","230,628","215,158","207,172","2,523,519","1,293,754","351,665","706,275","428,119","379,070",,,,"55,513","252,121","451,631","635,286","607,965","69,000"
Malta,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,543,832",,,,,,,,,,,,"124,871","44,965","35,584","16,587","78,198","26,008","82,064","41,644","141,749","122,475","543,271","716,354","3,981,864","369,284","6,492,028",,,"5,603","168,715","232,973","806,633","1,964,085","562,139","150,000"
Marshall Islands,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"61,968","35,351","45,827","44,000"
Mauritania,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"58,220","60,780","114,435","143,253","112,505","109,960","107,098","164,307","193,133","171,829","129,959",,,,,,,,,,"105,623","162,735","160,706","276,389","129,786",,"622,613","445,733","945,273","423,178","1,460,339","1,038,000"
Mauritius,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,"4,604",,,,,,,,,,,,,,,,,,,,,"1,005,634","138,724","95,903",,,,"29,985","84,790","126,188","102,894","109,441","116,418","134,944","172,294","125,150","434,830","320,014","158,507","199,558","155,962","463,357","115,000"
Mexico,"Military Assistance, Total",,,,,,,,,,,,,"6,385","3,147,203","17,220,365","4,099,615","4,381,864","2,992,769","1,490,646","1,069,840","1,428,580","457,784","575,404","7,577,553","430,259","20,625,443","8,818,486","46,335","121,813","391,246","331,844","3,217","364,344","332,656","463,092","297,633","226,162","171,860","122,465","309,736","401,267","344,543","458,736","297,483","407,911","18,467,572","1,363,021","26,101,273","1,063,783","290,422","565,958","3,295,999","64,275,100","32,057,442","28,869,050","25,123,180","28,992,652","24,094,828","18,299,618","13,125,489","12,622,808","17,005,446","16,942,252","13,327,317","71,463,710","99,803,405","95,400,636","91,654,000"
Micronesia (Federated States of),"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30,850",,"553,146","131,369",
Middle East & North Africa (not specified),"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23,125,013","21,293,230","22,858,163","26,380,173","28,358,198","27,033,468","26,477,546","28,000,000"
Moldova,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"82,359","149,979","378,956","1,455,656","5,331,099","2,304,583","2,262,376","4,994,828","4,242,382","2,555,787","2,633,473","1,726,612","1,663,113","1,589,187","1,180,821","1,233,056","3,018,175","2,438,989","15,690,000"
Mongolia,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"162,850","159,346","72,244","138,660","97,168","497,485","571,998","569,836","1,122,722","3,922,053","3,362,360","2,584,789","3,429,139","4,183,268","4,296,750","5,321,598","2,036,118","2,114,261","5,724,857","4,066,340","3,875,000"
Montenegro,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"994,638","1,661,519","1,962,394","1,692,000"
Morocco,"Military Assistance, Total",,,,,,,,,,,,,,,"4,339,283","46,633,887","44,455,010","30,448,428","14,048,749","73,603,860","62,299,729","95,991,219","9,323,678","61,089,245","3,838,495","72,433,057","69,554,376","41,857,490","13,945,681","52,718,642","102,516,633","643,420","95,053,712","127,456,429","122,976,278","63,757,368","77,033,889","65,170,711","153,121,407","78,012,832","92,640,247","4,447,901","24,055,988","91,460,452","88,130,403","70,759,707","63,299,257","34,732,335","79,665,603","47,572,676","5,924,032","33,531,199","7,968,913","7,274,521","11,405,668","6,609,832","11,461,173","10,197,821","22,717,719","21,314,484","28,945,963","20,404,002","29,492,310","17,383,727","18,881,897","16,695,112","18,054,437","15,603,629"
Mozambique,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"134,600","278,956","259,675","1,084,569","242,185","559,411","278,047","239,566","244,405","231,838","254,514","191,527","289,516","290,747","979,186","913,368","1,247,403","299,992","451,631","467,887","1,723,077","479,000"
Namibia,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,935,343","477,996","1,327,884","317,875","560,299","818,989","256,239","273,213","192,602","227,931","245,606","260,376","214,683",,,,"32,655","61,701","161,747","145,565","207,747","135,900"
Nepal,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,"2,283,291","1,314,043","1,929,436","4,666,087","69,262","66,246","24,172","55,247","105,505","139,005","98,237","99,590","136,056","3,217","89,542","185,130","136,518","63,954","138,832","182,340","148,564","209,072","228,760","157,610","185,636","172,955","164,829","197,523","304,785","269,909","219,839","355,442","135,830","194,336","267,143","1,340,493","915,192","281,332","1,061,321","17,997,264","4,477,684","5,409,329","1,885,368","713,884","857,725","907,423","780,376","1,763,414","1,943,045","2,190,000"
Netherlands,"Military Assistance, Total",,,,,"500,459,739","3,111,260,835","2,534,103,072","632,916,010","69,238,653","457,078,332","116,692,115","52,606,363","483,586,713","387,049,271","371,736,077","212,603,951","62,994,598","161,669,360","14,155,224","5,901,565","341,493","154,433",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"188,181",,,,,,,,,"78,968","75,322",,"41,362",,"59,867",,,
New Zealand,"Military Assistance, Total",,,,,,,,,,,,,,,,,,"8,978,306",,,,,,,,"12,890,902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,"Military Assistance, Total",,,,,,,,,"3,274,563","700,181","880,360","1,637,578","1,742,988","730,151","2,076,391","3,082,371","11,612,243","7,272,428","7,725,333","8,070,318","7,319,336","6,133,201","6,031,088","4,153,131","5,873,767","7,444,496","4,453,203","12,468,368","7,725,333","15,219,476","11,906,570","643,420","9,917,574","1,154,172","29,445",,,,,,,,,,,,,,,,,,"77,689","102,287","1,926,020","273,517","428,855","1,330,673","2,209,895","2,342,726","1,454,294","2,073,288","5,060,362","4,576,478","6,733,497","3,168,114","4,210,948","5,431,000"
Niger,"Military Assistance, Total",,,,,,,,,,,,,,,,,"321,215","17,957",,,,,"31,967",,,,,,,,,,,,,,"5,620,460","4,877,062","2,828,741","375,555","9,756,046","395,858","430,177","2,158,481","396,256","3,497,598","4,663,048","1,476,207","1,400,180","288,978","267,415","15,269",,,,,"129,802","165,239","126,357",,"2,178,544","325,002","63,132","105,316","66,169",,"67,212","400,000"
Nigeria,"Military Assistance, Total",,,,,,,,,,,,,,,,,"30,303","257,378","3,365,785","1,569,875","1,861,138","1,119,640","90,573","147,780","232,050","925,383","430,813",,,,,,,,,,,,,,,"172,271","169,572","155,660","163,164","160,588","317,162","569,976","205,084",,,,,,"119,546","13,708,407","20,649,953","8,449,714","117,769",,"1,448,500","2,239,151","2,062,677","2,288,239","3,425,040","2,979,920","11,115,952","4,948,300"
Norway,"Military Assistance, Total",,,,,"580,189,004","1,894,226,033","579,036,740","435,920,010","139,027,771","383,699,335","291,406,125","95,163,655","91,893,159","147,112,839","294,188,485","391,050,572","274,784,692","183,630,295","211,896,547","201,223,033","193,421,705","102,471,895",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oceania (not specified),"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"562,524",,,,,,,,,,,,,,,,,,,,,,,,,"73,822","30,551","56,700"
Oman,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"61,523,892","55,985,155","63,041,319","60,395,323","77,674,058","75,243,247","16,825,783","55,334","172,955","118,211","263,364","4,972,474","900,200","1,611,166","269,029","185,351","945,446","911,539","5,984,960","1,201,819","328,220","432,673","31,993,746","100,141,862","30,725,848","29,209,872","20,482,967","15,894,042","6,511,535","8,862,462","10,784,274","14,890,565","9,638,000"
Pakistan,"Military Assistance, Total",,,,,,,,,,"278,679,147","1,138,319,677","458,212,670","558,267,063","384,323,794","241,389,727","272,768,406","574,945,408","306,112,343","196,404,474","81,075,300","8,799,139","27,577,344","27,214,485","524,874","908,863","764,246","435,209","1,259,474","911,636","917,650","1,334,014","321,710","957,176","1,582,286","1,242,049",,,"1,203,023","523,541,905","582,245,700","611,221,998","571,706,433","559,693,974","451,122,570","384,471,859","296,886,294",,"3,845,075",,,,,,,"2,729,635","1,220,406","181,977","95,718,357","328,627,531","103,591,969","374,296,272","366,634,122","379,883,927","457,364,348","505,225,397","964,227,883","690,529,317","77,227,000"
Panama,"Military Assistance, Total",,,,,,,,,,,,,,,,"520,878","3,945,496","2,298,446","1,378,256","1,407,073","3,141,737","2,614,332","1,150,808","1,442,130","4,940,733","7,186,678","3,081,634","3,218,187","3,622,969","1,981,128","2,611,614","643,420","9,648,948","1,307,483","3,734,179","671,519","734,466","11,233,800","10,973,667","10,556,192","19,821,480","7,951,974","992,441",,,,,,,,"290,023",,"3,481,034","3,826,328","4,789,813","2,205,067","9,450,087","1,998,394","4,629,802","5,097,404","3,313,009","6,517,871","4,506,324","4,620,094","5,543,503","8,139,153","11,019,751","7,267,700"
Papua New Guinea,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19,678","17,914","35,630","42,160","85,177","101,254","73,307","108,883","69,182","79,917","67,447","221,240","146,264","147,543","72,244","176,862","224,875","151,290","232,837","207,213","230,536","203,611","257,873","314,051","349,375","341,846","322,761","262,325","265,951","255,224","329,600","180,251","210,800"
Paraguay,"Military Assistance, Total",,,,,,,,,,,,,,"2,001,621","453,822","2,641,157","5,369,753","8,451,579","7,334,926","16,634,856","11,149,750","5,294,850","7,133,946","5,901,013","5,714,233","18,724,035","11,750,654","8,213,959","9,257,826","3,667,044","8,362,474","2,895,391","1,963,754","1,790,557","24,091","7,379",,"18,863","110,419","145,189","176,258","155,777","187,421","204,087","341,313","340,446","185,656","749,413","601,959","128,595","189,989","220,384","1,675,094","990,565","674,771","505,355","1,448,182","886,281","1,024,347","406,806","565,494","1,361,646","1,810,149","2,713,760","1,744,554","2,707,506","1,211,857","1,033,400"
Peru,"Military Assistance, Total",,,,,,,"26,881,254","39,202,261","16,224,611","31,445,141","55,271,621","83,135,022","67,497,706","50,437,069","15,722,131","118,999,139","126,449,808","98,545,884","56,094,438","70,312,937","57,439,143","28,393,634","7,997,052","2,767,055","2,683,079","2,329,570","4,057,558","3,041,271","62,643,573","75,759,484","69,723,788","65,307,163","33,921,068","25,394,671","14,449,532","8,090,200","9,579,413","10,380,786","9,006,197","20,684,561","15,986,940","985,979","255,250","653,771","78,252","1,825,881","9,674,201","168,882",,,"459,841","4,642,114","58,083,112","36,933,554","42,868,162","14,726,932","14,647,252","16,649,849","12,684,726","10,902,412","8,412,888","13,377,752","8,738,349","11,743,617","10,561,853","24,844,797","13,249,975","6,871,000"
Philippines,"Military Assistance, Total",,"221,992,337","385,996,361","463,676,913","134,632,795","177,622,194","354,483,822","117,735,222","43,754,933","84,014,750","226,430,066","80,556,988","197,525,920","157,542,668","216,995,247","262,877,855","94,182,803","132,214,531","134,495,332","132,677,658","139,978,031","180,526,810","158,486,545","108,180,146","130,910,076","82,497,168","89,965,258","208,162,771","103,639,708","122,118,598","136,849,236","69,489,395","113,363,554","105,414,352","85,837,929","185,403,080","168,045,033","108,722,644","104,229,764","101,057,194","51,005,951","4,468,060","17,130,320","220,369,169","4,218,964","245,348,921","302,400,386","47,250,692","25,877,506","1,267,456","3,031,712","1,679,987","1,765,051","1,720,031","13,958,067","6,282,762","13,337,133","70,675,254","66,397,792","45,537,191","44,327,576","41,877,060","47,731,109","35,991,415","38,765,203","36,966,188","26,816,355","31,373,100"
Poland,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"543,042","1,072,097","1,009,192","1,011,421","2,471,824","24,286,494","18,518,720","169,604,714","10,601,081","94,714,110","17,296,738","51,572,296","4,698,589,280","42,114,034","104,275,911","35,682,971","33,225,972","30,903,461","30,688,822","57,843,505","36,683,622","26,265,000"
Portugal,"Military Assistance, Total",,,,,,"699,974,160","618,225,249","438,817,010","71,242,911","37,809,789","44,359,246","86,022,157","7,252,875","96,203,689","146,478,785","60,544,389","42,406,504","36,020,963","23,424,441","6,250,426","23,323,980","5,311,396","2,829,070","11,052,934","5,192,120","4,194,147","32,856,112","4,212,286","2,958,889","1,621,893","7,748,562","1,608,551","97,542,368","72,724,390","82,333,958","81,320,161","118,611,857","120,184,893","160,637,947","112,459,352","239,995,355","82,981,663","4,417,791","147,120,902","170,806,454","139,736,891","155,973,861","153,946,241","134,873,343","117,953,819","4,759,770","31,078,586","4,192,052","65,557,671","14,708,418","905,088","900,293","901,303","1,042,748","3,854,731","951,375","664,573","605,197","796,788","498,894","98,776","94,708","25,000"
Romania,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"455,907","450,805","6,787,723","13,926,977","10,115,989","20,180,078","10,109,613","9,498,852","23,168,365","12,963,739","32,571,775","12,530,834","17,364,618","16,022,595","17,335,195","15,614,492","14,332,443","15,733,478","15,890,000","13,803,900"
Russia,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,320,234","25,246,460","40,505,220","85,924,069","63,266,014","24,649,616","52,227,383","69,147,930","148,039,809","117,776,781","81,046,623","69,929,775","85,657,425","86,975,798","178,261,920","136,728,046","80,040,507","78,815,395","91,251,591","122,214,244","101,850,000"
Rwanda,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"127,908","3,432,735","10,479","124,473","3,872","125,630","137,451","178,497","129,716","164,829","388,622","375,952","117,614","982,634","108,367","495,214","892,559","489,307","727,366","417,083","213,604",,,"198,736","356,554","8,744,305","319,398","711,868","415,947","446,379","740,301","874,777","529,600"
Samoa,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"70,820","21,673","67,915","109,661","129,482","129,204","139,470","110,709","111,986","141,454","93,234",,,,"42,451","18,085","53,565","37,431","115,075","40,000"
Sao Tome & Principe,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"97,132","76,754","86,478","91,572","473,733","225,881","378,476","538,531",,"41,032","104,109","98,134","99,595","114,233","58,611","128,529","140,203","834,199","224,940","224,807","462,848","239,466","132,975","587,120","588,498","266,812","518,400"
Saudi Arabia,"Military Assistance, Total",,,,,,,,,,,,"31,765,062","259,469,047","104,543,776","14,808,270","46,523,583","38,994,347","40,162,955","19,904,860","7,302,824","417,566,409","475,256,918","163,856,984","2,731,384","2,373,679","58,846,967","1,885,907","753,999","664,080","131,601",,,,,,,,,,,,,,,,,,,,,,,,,,,,"30,043","26,989","28,716",,,,,"11,553","7,278","4,073","9,000"
Senegal,"Military Assistance, Total",,,,,,,,,,,,,,,,"67,408","11,454,665","1,442,514","556,035","1,011,697","1,838,371","38,608",,"35,671","77,350",,,"80,033","27,506","120,931","96,235","3,217","24,793,936","153,311","307,836","398,484","407,539","656,004","618,348","923,401","6,630,286","881,516","869,278","2,056,438","730,910","3,781,838","8,643,813","21,253,463","11,358,598","650,200","1,380,939","884,230","3,628,235","6,915,115","4,577,287","1,121,246","4,794,350","3,153,308","3,507,774","2,602,364","1,774,123","2,529,356","3,709,390","1,954,692","1,377,998","3,902,004","4,765,919","2,499,650"
Serbia,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"81,636","285,099","1,768,711","1,978,642","2,840,226","2,687,000"
"Serbia and Montenegro, Former","Military Assistance, Total",,,,,,"585,825,179","1,689,159,875","1,188,640,527","908,239,493","403,248,396","106,953,555","253,693,019","27,530,279","12,589","6,217",,"1,818,201","1,197,107","5,323,737",,,,,,,,,,,,,,,,,"88,552","55,981","318,570","192,732","127,766","187,508","98,964","85,678","115,880","59,938","41,753","131,506",,,,,"25,749,569","18,809,033","39,232,311","50,541,426",,,,,,,,,,,,,
Seychelles,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"31,876","36,653","69,614","22,484",,"139,711","628,135","196,023","351,152",,"14,149","43,032","68,149","106,324","136,814","351,665","76,354","50,072","65,018","117,256","4,951,552","418,020","245,997","105,316","102,930","122,690","640,553","389,000"
Sierra Leone,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"46,109","62,236","77,434","112,505","108,128","123,163","122,798","128,201","655,197","4,596,522","223,165","419,021",,"73,575","186,008","4,089",,"2,240,825","494,935","165,434","221,570","439,181","855,490","309,400","460,606","419,066","426,585","1,019,845","1,062,623","1,649,755","370,000"
Singapore,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,"69,261,609","30,575,198",,,"8,352,504",,,,,,,,,,"15,675","98,505","86,328","106,472","93,754","86,136","73,184","81,289","79,917","75,476","29,395","22,618","29,509","14,449","28,298","27,762",,,,,,,,,,,,,,,"43,790",
Slovakia,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"188,855","427,687","372,235","5,581,618","9,024,247","5,142,596","5,078,052","4,471,350","15,114,285","11,385,207","18,916,680","9,186,646","6,898,336","5,513,826","5,213,838","2,239,304","2,127,915","2,302,004","2,390,108","1,900,000"
Slovenia,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"120,985","163,272","212,234","906,440","1,908,163","4,244,896","4,085,819","3,359,048","7,837,743","6,042,484","6,054,074","3,498,535","2,822,837","1,556,647","1,417,206","1,298,903","1,257,213","1,327,759","1,486,816","1,119,000"
Solomon Islands,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"50,332","54,377","14,661","39,269","39,780","39,959","61,023","66,527","19,602","29,509","11,559","142,905","117,990","198,994","164,197","208,541","69,030","78,899","182,764","185,241","53,842","168,026","166,984","45,716","61,701","77,722","36,391","39,716","44,200"
Somalia,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"49,195,500","45,581,706","21,891,239","11,182,460","1,980,375","63,930,883","1,726,379","1,103,109","11,044,921","1,248,707",,,,"6,071,380","5,418,329",,,,,,,,,,,"4,452,110",,"53,988,803",,"283,031,622","106,054,374","76,683,048","144,743,000"
South Africa,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"150,268","420,224","11,906,435","894,111","1,553,142","1,755,999","1,503,041","2,799,649","10,228,535","8,842,505",,,"16,810","51,159","928,700","1,222,553","1,710,387","3,808,693","2,176,000"
South Sudan,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"43,416,047","48,792,000"
Spain,"Military Assistance, Total",,,,,,,,,"980,950,312","84,658,917","1,076,906,007","393,077,850","77,764,099","126,700,083","341,721,665","267,057,134","247,735,925","189,909,124","201,296,396","46,665,975","133,267,692","105,009,011","148,736,642","11,068,222","198,103,072","115,203,228","352,277,838","243,314,302","100,700,467","8,835,050","1,997,702","3,217","412,496,366","389,777,393","440,713,403","309,973,466","280,494,538","267,345,576","808,521,983","780,099,282","755,408,219","705,718,913","192,463,971","4,204,541","3,141,747","3,139,487","2,331,524","1,399,306","354,102","70,800","73,575","68,018",,,,,,,,"1,196",,"13,448","169,803","10,638","12,604",,,
Sri Lanka,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,"1,827,441","402,573","212,713","13,489,408",,"951,977","47,154",,,,"18,526","179,345","64,244","51,655","150,028","4,405,494","192,732","278,762","277,512","287,730","274,885","280,187","271,386","301,905","371,311","337,763","572,465","144,489","135,830","248,473","272,595","288,018","7,369,086","264,400","320,687","324,219","4,434,747","3,644,507","8,954,048","1,698,976","1,596,806","641,473","420,121","1,799,805","1,985,816","1,165,000"
St. Kitts and Nevis,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"61,947","48,752","58,646","94,603","105,503","78,252","899,290","966,956","845,916","368,857","117,036","111,777","173,515","222,165","425,297","302,850","263,097","414,857","440,637","446,542","766,950","340,687","320,519","314,572","86,168","171,199","2,339,435","412,439","403,000"
St. Lucia,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,478","16,767","28,107","81,306","90,004","87,968","62,474","32,861","73,257","871,991","886,505","817,267","972,306","327,990","121,681","163,798","201,720","484,516","470,215","450,652","405,949","458,162","462,490","818,399","325,623","484,141","313,483","76,594","1,801,271","630,088","395,126","403,000"
St. Vincent and Grenadines,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,096","62,236","85,177","95,629","93,466","87,463","74,371","73,257","867,173","962,315","865,519","225,740","128,595","113,192","172,126","263,054","384,921","270,971","263,097","279,965","212,808",,,,,"72,928","81,913","360,254","2,076,378","343,190","399,000"
Sub-Saharan Africa (not specified),"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,188,657",,,,,,,,,,,,,,,,,"45,448,136","47,947,872","14,966,654","10,551,856","18,380,314","30,986,593","26,416,444","27,751,000"
Sudan,"Military Assistance, Total",,,,,,,,,,,,,,,"62,167","42,896","230,305","185,552","183,373","1,814,077","762,668","8,995,730",,,,,,"46,335","55,013",,,,"256,276","610,351","14,160,434","62,520,101","72,185,963","184,661,874","2,403,125","2,801,175","86,962,502","1,577,933","1,688,578","1,297,164","256,401",,,,,,,,,,,,,,,,"182,283,875","167,889,275","402,843,551","235,265,229","40,625,745","57,123,797",,
Suriname,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"36,897","40,306","39,821",,,"78,753","62,311",,,,,,,,,"39,617","222,099","203,083","110,362","132,829","201,882","164,161","398,075","607,628","424,754","356,910","425,865","313,483","246,802","622,830","1,536,749","2,683,397","411,000"
Swaziland,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"96,793","93,754","76,972","116,023","89,937","101,561","88,323","198,033","272,925","216,888",,"80,649","69,406","115,853","125,167","120,874","136,758","124,712","105,152","122,676","156,740","338,370","249,915","267,767","170,208","330,846","173,638","202,655","37,000"
Syria,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,"94,644","116,287","108,139","33,093",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,587,609","1,043,975","2,810,554","12,136,112","7,480,648","7,448,496","27,808,860","2,400,994","17,196,405","8,440,227","25,623,000"
Tanzania,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29,402","96,567","224,823","92,828","245,783","408,693","164,717","114,607","174,903","6,815","248,987","240,420","217,511","272,329","344,248","257,620",,"3,583,010",,"71,840","319,141","498,894","1,140,604","2,011,275","2,795,000"
Thailand,"Military Assistance, Total",,,,,"77,306,465","352,969,119","229,544,113","173,327,653","299,925,951","319,268,655","311,163,051","106,238,679","91,293,009","103,190,479","251,181,090","373,389,749","475,198,910","385,773,857","212,908,057","177,006,264","293,490,574","384,097,249","478,496,491","491,312,855","512,105,482","435,468,477","522,906,302","260,685,771","135,727,741","143,665,591","341,530,748","122,571,571","145,018,278","109,521,931","86,437,539","94,829,246","122,019,961","159,815,475","157,767,046","186,248,159","191,856,403","151,490,696","4,107,207","78,884,878","3,634,570","8,912,611","1,050,501",,"3,451,023","1,293,175","3,252,846","2,005,829","2,180,757","8,663,321","4,162,860","18,321,726","20,919,599","18,014,982","17,984,340","8,558,489","14,453,712","9,568,505","2,912,783","5,316,885","7,509,671","5,921,369","4,767,995","3,617,000"
Timor-Leste,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,954,608",,,"53,828","2,587,242","3,085,746","2,987,386","1,324,663","793,505","135,103","283,582","834,918","302,455","300,000"
Togo,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"71,016",,,"73,793","71,655","75,451","98,374","60,011","69,378","93,466","128,518","107,232","169,824","465,704","439,385",,,,,,"34,074",,,,"66,174","103,900","166,840","483,382","16,223","265,605","88,167","111,699","155,445","232,904","680,269","1,180,000"
